name,price,old_price,url
Диван Слипсон Velvet Milk,59990,,https://www.divan.ru/product/divan-slipson-velvet-milk
Диван Спейс Velvet Olive,66990,,https://www.divan.ru/product/divan-spejs-velvet-olive
Диван Нумо Мини Textile Light,26990,,https://www.divan.ru/product/divan-numo-mini-textile-light
Диван угловой Онте Textile Grafit,129990,,https://www.divan.ru/product/divan-uglovoj-onte-textile-grafit
Диван Клаймар Velvet Terra,59990,,https://www.divan.ru/product/divan-klajmar-velvet-terra
Диван Льери Мини Velvet Yellow,64990,,https://www.divan.ru/product/divan-leri-mini-velvet-yellow
Диван Нумо Velvet Green,38990,,https://www.divan.ru/product/divan-numo-velvet-green
Диван Лилт Bucle Lilac,82990,,https://www.divan.ru/product/divan-lilt-bucle-lilac
Диван Эби Velvet Coral,66990,,https://www.divan.ru/product/divan-ebi-velvet-coral
Диван Виена Velvet Smoke,64990,,https://www.divan.ru/product/divan-viena-time-grey
Модульный диван Риббл-1 Bucle Mint,78980,,https://www.divan.ru/product/modulnyj-divan-ribbl-1-bucle-mint
Диван угловой Аллаум Linia Stone,54990,,https://www.divan.ru/product/divan-uglovoj-allaum-linia-stone
Диван Ларонсо Soft Blue,94990,,https://www.divan.ru/product/divan-laronso-soft-blue
Диван Сваут Velvet Mustard,66990,,https://www.divan.ru/product/divan-svaut-velvet-mustard
Диван Тилар Cozy Milk,31990,,https://www.divan.ru/product/divan-tilar-cozy-milk
Диван Бонс-Т Velvet Emerald,46990,,https://www.divan.ru/product/divan-bons-t-velvet-emerald
Диван Инес Vertical Blue,42990,,https://www.divan.ru/product/divan-ines-vertical-blue
Диван угловой Дарол Velvet Silver,67990,,https://www.divan.ru/product/divan-uglovoj-darol-velvet-silver
Диван угловой Нордика мини Velvet Coral,59990,,https://www.divan.ru/product/divan-uglovoj-nordika-mini-velvet-coral
Диван Бонент Velvet Eclipse,79990,,https://www.divan.ru/product/divan-bonent-velvet-eclipse
Диван угловой Эдвин Velvet Terra,74990,,https://www.divan.ru/product/divan-uglovoj-edvin-velvet-terra
Диван Эби Мини Linia Mint,58990,,https://www.divan.ru/product/divan-abi-mini-linia-mint
Диван Роттердам Velvet Yellow,27990,,https://www.divan.ru/product/divan-rotterdam-velvet-yellow-new
Диван Бруквиль Velvet Blue,53990,,https://www.divan.ru/product/divan-brukvil-velvet-blue
Кушетка Ринт Bucle Beige,21990,,https://www.divan.ru/product/kushetka-rint-bucle-beige
Модульный диван Brera-7 Velour Mix,178970,,https://www.divan.ru/product/modulnyj-divan-brera-7-velour-mix
Диван Слипсон Мини Linia Stone,46990,,https://www.divan.ru/product/divan-slipson-mini-linia-stone
Диван угловой Аронт Мини Velvet Pink,59990,,https://www.divan.ru/product/divan-uglovoj-aront-mini-velvet-pink
Диван угловой Динс Velvet Navy Blue,64990,,https://www.divan.ru/product/divan-uglovoj-dins-velvet-navy-blue-old-10-04-2024
Диван Кейсес Velvet Grey,26990,,https://www.divan.ru/product/divan-kejses-velvet-grey
Диван Линс Velvet Navy Blue,34990,,https://www.divan.ru/product/divan-lins-velvet-navy-blue
Диван Стаус Velvet Caramel,32990,,https://www.divan.ru/product/divan-staus-velvet-caramel
Диван Види Textile Ocean,25990,,https://www.divan.ru/product/divan-vidi-textile-ocean
Диван Виенсо Bucle Sand,79990,,https://www.divan.ru/product/divan-vienso-bucle-sand
Диван Лави Velvet Yellow,44990,,https://www.divan.ru/product/divan-lavi-velvet-yellow
Диван Риен Velvet Smoke,58990,,https://www.divan.ru/product/divan-rien-velvet-smoke
Диван угловой Мисл-1 Barhat Marsala,109990,,https://www.divan.ru/product/divan-uglovoj-misl-1-barhat-marsala
Диван угловой Вильен мини Velvet Terra,62990,,https://www.divan.ru/product/divan-uglovoj-vilen-mini-velvet-terra
Диван Пайпел Bucle Grafit,58990,,https://www.divan.ru/product/divan-pajpel-bucle-grafit
Диван Мейлон Velvet Beige,52990,,https://www.divan.ru/product/divan-mejlon-velvet-beige
Кушетка Кото Cozy Ivory,46990,,https://www.divan.ru/product/kushetka-koto-cozy-ivory
Диван Марей Soft Grey,94990,,https://www.divan.ru/product/divan-marej-soft-grey
Диван Сорен Textile Yellow,69990,,https://www.divan.ru/product/divan-soren-textile-yellow
Диван Лачи Velvet Yellow,34990,,https://www.divan.ru/product/divan-lachi-velvet-yellow
Диван Данста Velvet Light,68990,,https://www.divan.ru/product/divan-dansta-velvet-light
Диван угловой Шера Velvet Olive,109990,,https://www.divan.ru/product/divan-uglovoj-shera-velvet-olive
Диван Викс Textile Grafit,24990,,https://www.divan.ru/product/divan-viks-textile-grafit
Диван Нумо Velvet Grey,38990,,https://www.divan.ru/product/divan-numo-velvet-grey
